"Baden-WürttembergBayernBerlinBrandenburgBremenHamburgHessenMecklenburg-VorpommernNiedersachsenNordrhein-WestfalenRheinland-PfalzSaarlandSachsenSachsen-AnhaltSchleswig-HolsteinThüringen","2,854,61,386,30,00,02,07,72,22,91,70,05,029,20,01,8","0,35,50,071,10,00,00,10,01,50,20,74,00,41,60,00,2","2855424800372533211935269014","3,260,11,3157,40,00,02,17,73,73,12,44,05,430,80,02,0"
"Früheres BundesgebietNeue Länder","67,5130,0","12,373,2","200408","79,8203,2"
Deutschland,"197,5","85,5",608,"283,0"
"Baden-WürttembergBayernBerlinBrandenburgBremenHamburgHessenMecklenburg-VorpommernNiedersachsenNordrhein-WestfalenRheinland-PfalzSaarlandSachsenSachsen-AnhaltSchleswig-HolsteinThüringen","70010000167351202402","0,10,00,031,60,00,00,84,40,20,71,70,00,20,20,00,1","1264500026363039603","1,937,11,315,10,00,00,01,30,30,50,40,02,34,00,00,2","048014000251101901","0,022,60,067,10,00,00,01,10,61,30,00,00,08,20,00,1","00011000100000200","0,00,00,03,20,00,00,00,00,00,00,00,00,00,60,00,0","910730019922933104808","1,10,40,040,40,00,01,30,92,60,60,24,02,917,80,01,6","2855424800372533211935269014","3,260,11,3157,40,00,02,17,73,73,12,44,05,430,80,02,0"
"Früheres BundesgebietNeue Länder","4 3115","3,536,5","36104","41,522,8","5527","24,576,5","014","0,03,8","66148","10,363,6","200408","79,8203,2"
Deutschland,1 58,"0,0",10,"6,3",8 2,"101,0",1,"3,8",21,"73,8",608,"283,0"
Baden-Württemberg,0,0,2,0,2,2,3,9,8,1,1,0
Bayern,0,0,0,3,7,7,13,21,1,0,0,3
Berlin,0,0,0,1,2,0,0,1,0,0,0,0
Brandenburg,0,0,10,30,71,43,27,24,42,0,0,1
Bremen,0,0,0,0,0,0,0,0,0,0,0,0
Hamburg,0,0,0,0,0,0,0,0,0,0,0,0
Hessen,0,0,3,4,9,0,2,7,10,2,0,0
Mecklenburg-Vorpommern,0,0,1,2,8,2,4,1,7,0,0,0
Niedersachsen,0,0,0,3,7,0,9,6,5,3,0,0
Nordrhein-Westfalen,0,0,0,1,5,3,6,2,2,1,0,1
Rheinland-Pfalz,1,0,0,0,1,0,2,7,8,0,0,0
Saarland,0,0,0,0,2,0,0,1,0,0,0,0
Sachsen,0,0,1,4,15,6,3,11,12,0,0,0
Sachsen-Anhalt,0,0,1,6,16,12,4,14,16,0,0,0
Schleswig-Holstein,0,0,0,0,0,0,0,0,0,0,0,0
Thüringen,0,0,0,0,4,0,1,7,2,0,0,0
Früheres Bundesgebiet,1,0,5,12,35,12,35,54,34,7,1,4
Neue Länder,0,0,13,42,114,63,39,57,79,0,0,1
Deutschland,1,0,18,5,1 9,75,7,111,113,7,1,5
Baden-Württemberg,"0,0","0,0","0,0","0,0","0,2","1,2","0,3","0,3","1,2","0,0","0,0","0,0"
Bayern,"0,0","0,0","0,0","4,0","3,5","6,0","6,5","4,1","0,5","0,0","0,0","35,5"
Berlin,"0,0","0,0","0,0","0,0","1,3","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
Brandenburg,"0,0","0,0","2,9","16,4","56,6","13,9","5,2","2,3","60,1","0,0","0,0","0,2"
Bremen,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
Hamburg,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
Hessen,"0,0","0,0","0,1","0,4","1,1","0,0","0,2","0,2","0,1","0,0","0,0","0,0"
Mecklenburg-Vorpommern,"0,0","0,0","0,0","1,3","5,7","0,0","0,1","0,0","0,7","0,0","0,0","0,0"
Niedersachsen,"0,0","0,0","0,0","0,3","0,3","0,0","1,8","0,4","0,6","0,3","0,0","0,0"
Nordrhein-Westfalen,"0,0","0,0","0,0","0,0","0,8","0,1","0,7","0,1","0,1","1,3","0,0","0,0"
Rheinland-Pfalz,"0,1","0,0","0,0","0,0","0,3","0,0","0,2","0,6","1,2","0,0","0,0","0,0"
Saarland,"0,0","0,0","0,0","0,0","4,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
Sachsen,"0,0","0,0","0,1","0,0","1,4","0,4","0,0","0,6","2,9","0,0","0,0","0,0"
Sachsen-Anhalt,"0,0","0,0","0,1","4,3","3,7","5,3","2,3","4,1","11,1","0,0","0,0","0,0"
Schleswig-Holstein,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
Thüringen,"0,0","0,0","0,0","0,0","0,2","0,0","0,1","0,9","0,8","0,0","0,0","0,0"
Früheres Bundesgebiet,"0,1","0,0","0,1","4,7","11,4","7,2","9,7","5,8","3,6","1,6","0,0","35,5"
Neue Länder,"0,0","0,0","3,1","22,0","67,5","19,6","7,6","7,8","75,4","0,0","0,0","0,2"
Deutschland,"0,1","0,0","3,1","26,7","79,0","26,9","17,3","13,6","79,1","1,6","0,0","35,7"
